"id","time_start","time_finish","task1_start","task1_finish","task2_start","task2_finish","task3_start","task3_finish","condition_id","first_task","second_task","third_task","first_algorithm","second_algorithm","third_algorithm","age","gender","nationality","experience","consumption","task1_movie","task1_series","task1_search","task2_movie","task2_series","task2_search","task3_movie","task3_series","task3_search","algorithm1_movie","algorithm1_series","algorithm1_search","algorithm2_movie","algorithm2_series","algorithm2_search","algorithm3_movie","algorithm3_series","algorithm3_search","cn_1_1","cn_1_2","cn_1_3","cn_2_1","cn_2_2","cn_2_3","en_1_1","en_1_2","en_1_3","se_1_1","se_1_2","se_1_3","eval_1_1","eval_1_2","eval_1_3","eval_2_1","eval_2_2","eval_2_3","eval_3_1","eval_3_2","eval_3_3","feedback"
33,"1738240819082","1738241119952","1738241077825","1738241102409","1738240962327","1738240980598","1738241024649","1738241050136",32,2,3,1,3,2,1,31,"Male","Lithuanian",2,"9-12",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,4,2,5,5,5,5,3,4,3,3,3,5,4,5,4,4,3,5,4,4,"."
22,"1738237340262","1738237599573","1738237478408","1738237537491","1738237423072","1738237452410","1738237560075","1738237585561",21,2,1,3,2,1,3,26,"Female","Dutch",5,"6-9",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,4,4,5,4,5,1,3,1,3,3,3,4,5,4,5,5,4,2,5,3,"-"
42,"1738245822185","1738246243495","1738246192050","1738246222869","1738246103927","1738246148570","1738245968785","1738245996356",5,3,2,1,1,2,3,31,"Male","Dutch",2,"<3>",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,3,5,4,5,5,3,2,4,2,2,4,4,5,5,4,5,5,3,2,5,"-"
37,"1738244970398","1738246697386","1738245093558","1738245121630","1738245186983","1738245199374","1738245230895","1738245238375",0,1,2,3,1,2,3,31,"Male","Dutch",5,"6-9",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,2,4,5,5,5,2,2,3,1,1,1,5,5,5,4,4,4,4,4,4,"Unfortunately this made me want to watch Inception and Dune (again), thanks for the 5+- hour loss."
47,"1738317491321","1738317754911","1738317641962","1738317658380","1738317689736","1738317727087","1738317591932","1738317599490",10,3,1,2,1,3,2,23,"Female","Dutch",3,"<3>",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,2,4,2,4,4,3,1,4,1,1,2,4,2,4,2,3,4,3,1,4,"Jallaaaaa you gooooooo"
24,"1738237520058","1738237886350","1738237827126","1738237869825","1738237756300","1738237785741","1738237626719","1738237711276",23,3,2,1,2,1,3,35,"Male","Dutch",3,"<3>",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,2,2,4,4,3,2,2,2,2,2,2,3,3,2,3,2,2,3,3,2,"The more information question showed several times, but I felt like there was not any more information on the screen.

"
23,"1738237388235","1738238015401","1738237882746","1738237934397","1738237975819","1738237984526","1738237654233","1738237724941",22,3,1,2,2,1,3,25,"Female","Dutch",4,"3-6",True,True,False,False,False,False,True,True,False,True,True,False,True,True,False,False,False,False,4,4,5,5,4,4,3,3,3,3,3,3,4,4,5,5,4,4,4,2,4,NULL
35,"1738243817509","1738244238598","1738244114108","1738244160592","1738244185757","1738244215069","1738244001044","1738244081214",34,3,1,2,3,2,1,24,"Female","Dutch",4,"<3>",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,2,3,4,4,4,4,3,3,3,2,2,5,5,5,4,4,4,3,2,5,"Succes met je studiee <3"
26,"1738238068318","1738238344975","1738238183562","1738238193530","1738238317885","1738238326589","1738238244491","1738238271204",25,1,3,2,3,1,2,32,"Male","Dutch",5,">12",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,4,5,5,4,5,4,4,4,2,4,2,3,5,5,4,4,5,4,4,5,NULL
36,"1738244030393","1738244358585","1738244306554","1738244337995","1738244259162","1738244271724","1738244173364","1738244201788",35,3,2,1,3,2,1,19,"Male","Dutch",4,"3-6",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,5,3,5,5,5,4,4,3,4,4,4,5,5,5,5,5,5,4,5,5,"Nothing to report"
27,"1738238186805","1738238467304","1738238421955","1738238444268","1738238307177","1738238321082","1738238362023","1738238385105",26,2,3,1,3,1,2,32,"Male","Dutch",5,"3-6",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,2,2,3,2,4,4,4,4,4,3,4,5,4,4,3,2,5,2,4,4,"Goodluck!"
29,"1738238303804","1738238533094","1738238424373","1738238461748","1738238487684","1738238520349","1738238383500","1738238390421",28,3,1,2,3,1,2,27,"Female","Dutch",5,"3-6",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,5,5,5,5,5,4,4,4,3,3,3,5,5,5,4,5,5,4,5,4,NULL
28,"1738238246907","1738238560393","1738238437060","1738238453861","1738238383308","1738238396807","1738238484625","1738238537043",27,2,1,3,3,1,2,31,"Male","Dutch",5,"6-9",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,4,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,4,5,"."
54,"1738355726616","1738356042616","1738355996073","1738356018003","1738355930093","1738355957776","1738355870535","1738355886228",17,3,2,1,2,3,1,19,"Nonbinary","Dutch",5,"6-9",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,4,3,5,3,4,5,4,4,4,4,3,5,4,4,4,4,3,5,5,4,"Maybe it was my laptop, but the ""next"" button to scroll through the lists wasn't very clear"
43,"1738252147652","1738252483550","1738252289962","1738252312840","1738252362879","1738252394175","1738252431800","1738252454102",6,1,2,3,1,3,2,23,"Male","Dutch",4,"3-6",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,4,5,4,4,4,2,3,4,1,2,2,5,5,5,2,4,5,1,4,5,"-"
32,"1738239689641","1738239952076","1738239778624","1738239795256","1738239896460","1738239933108","1738239845410","1738239852925",31,1,3,2,3,2,1,28,"Male","Dutch",4,"6-9",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,4,2,3,3,3,2,3,2,2,4,4,4,4,4,3,3,3,2,2,3,"It felt like some movies/series were in an unusual category (e.g. American Horror Story in sci-fi) and that certain categories were omitted (e.g. Horror), even though that last problem could be based on my 5 preferences at the start."
39,"1738245199319","1738245381028","1738245344120","1738245367550","1738245236654","1738245241243","1738245299458","1738245309786",2,2,3,1,1,2,3,31,"Male","Dutch",5,"9-12",False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,"When looking for ""Disney"", nothing came up, might be an idea to add that."
50,"1738331863018","1738332234504","1738332047847","1738332056139","1738332193046","1738332218650","1738332113464","1738332141175",13,1,3,2,2,3,1,25,"Female","Dutch",3,"<3>",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,5,5,5,5,5,4,3,3,4,4,4,5,5,5,5,3,5,4,3,5,"geen vragen, succes met je onderzoek!"
48,"1738328238468","1738328812812","1738328708122","1738328734835","1738328530597","1738328605240","1738328418832","1738328462927",11,3,2,1,1,3,2,26,"Female","Dutch",5,"<3>",True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,4,2,5,4,5,4,3,3,4,3,2,3,4,4,5,3,3,4,4,2,4,"submit"
40,"1738245197765","1738245526441","1738245405933","1738245426559","1738245315331","1738245334468","1738245464380","1738245484938",3,2,1,3,1,2,3,30,"Male","Dutch",5,"9-12",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,5,5,4,4,5,4,4,5,5,4,5,5,5,5,5,5,5,4,4,5,"-"
44,"1738258504500","1738258860904","1738258628525","1738258671237","1738258801864","1738258836942","1738258722538","1738258778154",7,1,3,2,1,3,2,38,"Male","Dutch",4,"3-6",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,4,4,4,3,4,4,3,4,4,3,4,4,5,4,4,3,4,5,3,5,"no comment"
52,"1738335342474","1738335604179","1738335500798","1738335510846","1738335464953","1738335468733","1738335543471","1738335574736",15,2,1,3,2,3,1,24,"Male","Dutch",5,"<3>",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,5,5,4,4,5,3,4,4,3,4,5,5,5,4,2,4,5,2,5,4,"No feedback. Succes Jalla!"
49,"1738329610108","1738329792695","1738329697908","1738329703808","1738329737757","1738329753409","1738329770541","1738329784792",12,1,2,3,2,3,1,22,"Female","Dutch",5,"3-6",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,4,4,4,2,2,4,3,3,4,2,3,5,4,5,4,2,2,4,4,3,"x"
51,"1738333080915","1738333467148","1738333410556","1738333444485","1738333261968","1738333296844","1738333370145","1738333383757",14,2,3,1,2,3,1,27,"Male","Dutch",5,"9-12",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,3,5,4,2,4,4,4,4,4,4,4,5,4,5,3,3,4,3,2,2,"The mobile interface wasn't working as expected, but was able to fulfill the prompts"
55,"1738594530819","1738594848220","1738594685573","1738594705640","1738594749844","1738594776900","1738594805431","1738594832839",18,1,2,3,2,1,3,21,"Female","Dutch",4,"3-6",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,4,4,4,4,4,4,3,4,3,3,3,4,3,4,4,4,4,3,3,5,"/"
56,"1738594624623","1738594859230","1738594720362","1738594741177","1738594835016","1738594847423","1738594773983","1738594797933",19,1,3,2,2,1,3,21,"Female","Dutch",4,"<3>",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,4,4,2,4,2,4,5,4,4,4,4,5,4,2,2,2,2,5,4,4,"nope"
59,"1738595093050","1738595360209","1738595274968","1738595311194","1738595334528","1738595347961","1738595201476","1738595233944",22,3,1,2,2,1,3,19,"Female","Dutch",4,"6-9",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,4,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,"-"
58,"1738594888875","1738595361100","1738595203604","1738595261028","1738595111524","1738595118762","1738595300554","1738595332067",21,2,1,3,2,1,3,24,"Female","Dutch",4,"6-9",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,2,4,4,5,5,5,2,3,3,2,3,2,5,4,5,5,5,5,4,4,4,"I did not realise I had to look around actively while choosing a film/series, but found out while I was answering the questions after that I should have looked better. 

I could not really resonate with the 36 options to choose my preferences from, it was not so diverse I think. 

Cool study!"
67,"1738949264903","1738949956502","1738949731034","1738949813103","1738949562982","1738949593418","1738949879202","1738949903806",9,2,1,3,1,3,2,66,"Male","Dutch",4,"6-9",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,4,4,5,5,5,4,4,4,3,3,3,4,4,4,4,5,5,3,4,4,NULL
60,"1738595704150","1738596079361","1738596008069","1738596050553","1738595932672","1738595968999","1738595870263","1738595887583",23,3,2,1,2,1,3,22,"Female","Dutch",3,"3-6",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,4,4,3,3,3,3,3,4,2,2,2,4,5,5,4,4,3,2,3,4,"Als je verder scrolt bij categorieën, dat je dan automatisch weer bij de eerste uitkomt ipv dat je terug moet "
68,"1738950456969","1738954392166","1738954176707","1738954233347","1738954273444","1738954343268","1738954084339","1738954099922",16,3,1,2,2,3,1,26,"Female","Lithuanian",1,"<3>",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,3,2,3,3,3,4,2,4,3,2,2,3,5,4,2,3,2,3,2,2,"Me personally - I don't watch much stuff in general and in the types suggested and picked options, that I heard about. Otherwise is was easy to understand"
61,"1738604752475","1738605766687","1738605290344","1738605329240","1738605522362","1738605570444","1738605650595","1738605711373",24,1,2,3,3,1,2,19,"Female","Dutch",3,"6-9",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,3,4,3,3,3,4,2,4,2,1,2,5,4,5,3,2,4,2,1,5,"Ik hoop dat je er wat aan hebt. ik vond het lastig dat ik de taal niet kon aan passen en dat ik een heel groot deel van de films aan heb het begin niet kende dus hoop dat dat de score niet heeft beïnvloed. neem aan van niet want snap de de vraag en heb de series/ films opgezocht. misschien voor de volgende keer en optie geven dat je het genre er bij zet. "
62,"1738942060999","1738944485217","1738942287618","1738942396680","1738942487238","1738942567108","1738944352811","1738944453528",30,1,2,3,3,2,1,26,"NA","Dutch",5,"<3>",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,3,3,4,4,3,3,3,3,4,4,4,5,4,4,4,4,4,4,3,4,NULL
63,"1738946098376","1738946427116","1738946321488","1738946347510","1738946246261","1738946265242","1738946376894","1738946409664",33,2,1,3,3,2,1,44,"Male","American",5,"9-12",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,4,4,5,4,4,5,4,3,5,4,3,5,5,2,5,4,4,5,4,4,"N/A"
70,"1739014800176","1739015548858","1739015419606","1739015492551","1739015211119","1739015348247","1739015000336","1739015068315",29,3,2,1,3,1,2,56,"Female","Dutch",5,"6-9",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5,3,5,5,5,5,4,4,4,3,3,3,5,5,4,4,4,4,4,3,5,"Geen opmerkingen"
64,"1738946124775","1738946857896","1738946397959","1738946542128","1738946739936","1738946819424","1738946626464","1738946701631",1,1,3,2,1,2,3,36,"Male","German",4,">12",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,4,4,5,5,5,4,4,4,3,2,2,5,5,5,5,5,5,3,3,4,NULL
71,"1739098533050","1739098854639","1739098809433","1739098833620","1739098657108","1739098667945","1739098713831","1739098771887",20,2,3,1,2,1,3,23,"Male","Dutch",4,"3-6",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2,4,4,4,4,4,2,4,4,2,3,3,5,4,5,1,4,5,2,5,4,NULL
65,"1738946788880","1738947086029","1738946968558","1738946993078","1738947030533","1738947061177","1738946901763","1738946922084",4,3,1,2,1,2,3,28,"Female","Dutch",4,"3-6",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4,3,3,5,4,4,4,3,3,3,2,3,4,4,4,4,3,3,4,2,2,"There were movies when I had to choose a series, don't know if it should have been there"
66,"1738949257020","1738949687456","1738949622308","1738949661172","1738949474460","1738949488813","1738949554668","1738949585717",8,2,3,1,1,3,2,58,"Female","Dutch",4,"9-12",True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,3,4,4,5,5,5,5,4,4,4,4,4,4,4,5,4,5,4,4,5,4,"er staat in het laatste blad geen submit maar alleen een Continue knop hahaha
"
